case_id,unit_particle_fraction,unit_stiffness_ratio,unit_matrix_poissons_ratio,unit_particle_poissons_ratio,particle_fraction,stiffness_ratio,matrix_poissons_ratio,particle_poissons_ratio,particle_radius,matrix_youngs_modulus,particle_youngs_modulus,center_x,center_y,prescribed_x_displacement,mesh_size
M4PB_001,0.1622156464130088,0.7514915088014779,0.3614417554927828,0.09254298522187009,0.09055391160325219,15.5268471584266,0.2722883510985566,0.168508597044374,0.1697769280436192,1000,15526.8471584266,0.5,0.5,0.01,0.02048
M4PB_002,0.7097827492744269,0.3825117681990059,0.4018160693147017,0.9944832721196478,0.2274456873186067,8.885211827582106,0.2803632138629403,0.3488966544239295,0.2690691562468276,1000,8885.211827582107,0.5,0.5,0.01,0.02048
M4PB_003,0.964539778584708,0.8996547580599088,0.2999160319449493,0.5413774358252218,0.291134944646177,18.19378564507836,0.2599832063889899,0.2582754871650443,0.3044193342980186,1000,18193.78564507836,0.5,0.5,0.01,0.02048
M4PB_004,0.1037839494760412,0.9616462155077695,0.2517361737609912,0.1901675535745404,0.07594598736901029,19.30963187913985,0.2503472347521983,0.1880335107149081,0.1554810554233064,1000,19309.63187913985,0.5,0.5,0.01,0.02048
M4PB_005,0.0966347234699086,0.1133290998393332,0.3195876893110885,0.4639268556134438,0.07415868086747715,4.039923797107997,0.2639175378622177,0.2427853711226887,0.1536406237505781,1000,4039.923797107997,0.5,0.5,0.01,0.02048
M4PB_006,0.6654293353383327,0.4772066137220839,0.7918383742795901,0.1727431695538234,0.2163573338345832,10.58971904699751,0.358367674855918,0.1845486339107647,0.262428425114191,1000,10589.71904699751,0.5,0.5,0.01,0.02048
M4PB_007,0.9168371281797831,0.7427395677795178,0.8003473629935031,0.770413022357003,0.2792092820449458,15.36931222003132,0.3600694725987006,0.3040826044714006,0.298119229150326,1000,15369.31222003132,0.5,0.5,0.01,0.02048
M4PB_008,0.5316916368542173,0.7194394835726839,0.2262575130593057,0.1093692557370192,0.1829229092135543,14.94991070430831,0.2452515026118612,0.1718738511474038,0.2413009954645325,1000,14949.91070430831,0.5,0.5,0.01,0.02048
M4PB_009,0.3300539850747883,0.5900907258456074,0.434037231689495,0.2447172534492533,0.1325134962686971,12.62163306522093,0.286807446337899,0.1989434506898506,0.2053785673216783,1000,12621.63306522093,0.5,0.5,0.01,0.02048
M4PB_010,0.2007129160037338,0.9899516402583568,0.6105260315049262,0.9702587286012805,0.1001782290009335,19.81912952465042,0.3221052063009853,0.3440517457202561,0.1785713321655546,1000,19819.12952465042,0.5,0.5,0.01,0.02048
M4PB_011,0.2852827282437124,0.2898826071541377,0.04519467869720803,0.957928038976966,0.1213206820609281,7.217886928774479,0.2090389357394416,0.3415856077953932,0.1965135427866331,1000,7217.886928774478,0.5,0.5,0.01,0.02048
M4PB_012,0.9906998804329927,0.1999506284908765,0.6695251963878481,0.8669890659960023,0.2976749701082482,5.599111312835777,0.3339050392775696,0.3233978131992005,0.3078195670436169,1000,5599.111312835777,0.5,0.5,0.01,0.02048
M4PB_013,0.8719612081138639,0.3295215761877074,0.278626367924569,0.0616123958088758,0.267990302028466,7.931388371378733,0.2557252735849138,0.1623224791617751,0.2920684209856326,1000,7931.388371378734,0.5,0.5,0.01,0.02048
M4PB_014,0.8162742435007548,0.1549885555649441,0.9275361963282738,0.133848418824506,0.2540685608751887,4.789794000168994,0.3855072392656548,0.1767696837649012,0.2843809675330978,1000,4789.794000168994,0.5,0.5,0.01,0.02048
M4PB_015,0.01056189911207114,0.7876755997526302,0.8788327957492168,0.4365901695566912,0.05264047477801779,16.17816079554734,0.3757665591498434,0.2373180339113382,0.1294449054047765,1000,16178.16079554734,0.5,0.5,0.01,0.02048
M4PB_016,0.7448828523562323,0.1362133586370385,0.741772056546148,0.3990171844929897,0.2362207130890581,4.451840455466693,0.3483544113092296,0.2298034368985979,0.2742104817428246,1000,4451.840455466692,0.5,0.5,0.01,0.02048
M4PB_017,0.174461698445567,0.4512969519599991,0.1538872045588737,0.3617198531662872,0.09361542461139175,10.12334513527998,0.2307774409117747,0.2223439706332574,0.172623043517079,1000,10123.34513527998,0.5,0.5,0.01,0.02048
M4PB_018,0.3550391638420417,0.3982197639605872,0.8961957594274695,0.5103801543946033,0.1387597909605104,9.16795575129057,0.379239151885494,0.2520760308789206,0.2101633014289761,1000,9167.95575129057,0.5,0.5,0.01,0.02048
M4PB_019,0.6214752799347374,0.01747937396743796,0.9916897770145532,0.647606964700025,0.2053688199836843,2.314628731413883,0.3983379554029107,0.279521392940005,0.2556773860056966,1000,2314.628731413883,0.5,0.5,0.01,0.02048
